cod_ibge,ano,homicidios
330015,2010,0
330020,2010,35
291300,2010,0
330022,2010,0
291290,2010,6
330023,2010,13
291280,2010,2
330025,2010,2
291270,2010,10
330030,2010,10
291260,2010,0
330040,2010,36
330045,2010,215
291250,2010,0
330050,2010,4
291240,2010,3
330060,2010,2
291230,2010,1
330070,2010,91
291220,2010,2
330080,2010,5
291210,2010,13
330090,2010,0
330093,2010,1
291200,2010,1
330095,2010,0
291190,2010,6
330100,2010,195
291185,2010,0
330110,2010,7
291180,2010,6
330115,2010,5
291170,2010,13
330120,2010,0
330130,2010,6
291165,2010,0
330140,2010,5
291160,2010,4
330150,2010,2
291150,2010,1
330160,2010,2
291140,2010,4
330170,2010,479
291130,2010,0
330180,2010,0
330185,2010,12
291125,2010,2
330187,2010,8
291120,2010,14
330190,2010,115
291110,2010,1
330200,2010,62
291100,2010,1
330205,2010,0
291090,2010,0
330210,2010,3
330220,2010,25
291085,2010,1
330225,2010,6
291080,2010,316
330227,2010,50
291077,2010,3
330230,2010,0
291075,2010,1
330240,2010,74
291072,2010,96
330245,2010,0
330250,2010,75
291070,2010,5
330260,2010,10
291060,2010,14
330270,2010,31
291050,2010,10
330280,2010,4
291040,2010,4
330285,2010,79
291030,2010,0
330290,2010,2
330300,2010,5
291020,2010,0
330310,2010,0
291010,2010,0
330320,2010,63
291005,2010,58
330330,2010,163
291000,2010,2
330340,2010,32
330350,2010,334
290990,2010,11
330360,2010,5
290980,2010,10
330370,2010,14
290970,2010,0
330380,2010,11
290960,2010,17
330385,2010,6
290950,2010,0
330390,2010,26
290940,2010,0
330395,2010,5
330400,2010,2
290930,2010,0
330410,2010,2
290920,2010,4
330411,2010,8
290910,2010,1
330412,2010,0
290900,2010,1
330414,2010,45
290890,2010,2
330415,2010,1
330420,2010,42
290880,2010,0
330430,2010,4
290870,2010,0
330440,2010,4
290860,2010,8
330450,2010,1
290850,2010,16
330452,2010,32
290840,2010,14
330455,2010,1867
330460,2010,5
290830,2010,0
330470,2010,2
290820,2010,2
330475,2010,15
